# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=0
# stan_version_patch=2
# data=data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=687032962
# chain_id=1
# iter=200
# warmup=100
# thin=1
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,alpha,beta,sigma
# (mcmc::nuts_diag) adaptation finished
# step size=0.133997
# parameter step size multipliers:
# 0.624548,0.436441,1.55546
8.18335,2,0.133997,2.97792,0.967432,0.101611
7.30424,1,0.133997,2.95433,0.955566,0.106894
7.43082,2,0.133997,3.01037,1.04521,0.117897
8.2008,1,0.133997,2.96564,0.976826,0.104085
7.10448,2,0.133997,2.98914,1.04785,0.130127
7.10448,1,0.133997,2.98914,1.04785,0.130127
6.71636,2,0.133997,3.08472,1.02097,0.117641
8.59231,2,0.133997,3.00916,1.03486,0.0863506
8.59231,1,0.133997,3.00916,1.03486,0.0863506
8.59231,1,0.133997,3.00916,1.03486,0.0863506
8.59231,1,0.133997,3.00916,1.03486,0.0863506
8.59231,1,0.133997,3.00916,1.03486,0.0863506
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,2,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,3,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
9.53837,1,0.133997,3.02599,0.985121,0.074287
10.323,3,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,3,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.323,1,0.133997,2.99985,1.02239,0.0572348
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1009,1,0.133997,2.98608,1.00767,0.0706198
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.1171,1,0.133997,3.01608,0.997998,0.0705688
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,2,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,2,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,2,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,1,0.133997,2.99194,0.980037,0.0624386
10.2022,4,0.133997,2.99194,0.980037,0.0624386
9.88122,5,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,3,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,2,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,2,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.88122,1,0.133997,3.01145,0.988379,0.0740185
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,2,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.66855,1,0.133997,2.99438,0.99364,0.0809471
9.99047,1,0.133997,3.00015,1.00373,0.0751686
