# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=2
# stan_version_patch=0
# data=line_data.R
# init=random initialization
# append_samples=0
# save_warmup=0
# seed=2300453858
# chain_id=1
# iter=10
# warmup=5
# thin=1
# nondiag_mass=1
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,beta.1,beta.2,sigma
# (mcmc::nuts_nondiag) adaptation finished
# step size=0.108411
# estimated covariance matrix:
#1,0,0,
#0,1,0,
#0,0,1,
-342.248,1,0.108411,0.804558,-0.498927,0.741346
-342.248,2,0.108411,0.804558,-0.498927,0.741346
-342.248,1,0.108411,0.804558,-0.498927,0.741346
-342.248,1,0.108411,0.804558,-0.498927,0.741346
-342.248,2,0.108411,0.804558,-0.498927,0.741346
