# Samples Generated by Stan
#
# stan_version_major=1
# stan_version_minor=2
# stan_version_patch=0
# data=line_data.R
# init=random initialization
# append_samples=0
# save_warmup=1
# seed=2345028923
# chain_id=1
# iter=10
# warmup=5
# thin=1
# nondiag_mass=0
# equal_step_sizes=0
# leapfrog_steps=-1
# max_treedepth=10
# epsilon=-1
# epsilon_pm=0
# delta=0.5
# gamma=0.05
#
lp__,treedepth__,stepsize__,beta.1,beta.2,sigma
-24.0418,2,0.125,0.416864,0.843029,2.03379
-24.0418,0,1.96932,0.416864,0.843029,2.03379
-24.0418,0,1.25,0.416864,0.843029,2.03379
-24.0418,0,0.642088,0.416864,0.843029,2.03379
-16.0273,1,0.299564,0.500675,0.732981,0.818183
# (mcmc::nuts_diag) adaptation finished
# step size=0.644458
# parameter step size multipliers:
# 1,1,1
-16.0273,1,0.644458,0.500675,0.732981,0.818183
-16.0273,1,0.644458,0.500675,0.732981,0.818183
-16.0273,1,0.644458,0.500675,0.732981,0.818183
-16.0273,1,0.644458,0.500675,0.732981,0.818183
-16.0273,1,0.644458,0.500675,0.732981,0.818183
